twelvth_beat,pitch,prediction,anomaly score
2.0,4.0,0.4206715474433767,0.0
2.5,9.0,1.4944700832103637,1.0
3.0,4.0,1.4944700832103637,0.074999999999999997
3.5,9.0,2.2461290582472544,0.72499999999999998
4.0,4.0,2.2461290582472544,0.074999999999999997
4.5,5.0,2.772290340773078,0.0
5.0,2.0,3.4406032385411542,0.0
5.5,0.0,3.008422266978808,0.0
6.0,3.0,2.105895586885165,0.0
7.5,0.0,2.3741269108196157,0.0
7.875,4.0,1.6618888375737308,0.0
8.375,3.0,2.3633221863016116,0.0
8.875,5.0,2.554325530411128,0.0
10.25,4.0,3.288027871287789,0.0
10.75,8.0,3.5016195099014524,0.0
11.25,5.0,3.5016195099014524,0.074999999999999997
11.875,0.0,3.9511336569310167,0.074999999999999997
13.375,4.0,2.7657935598517116,0.074999999999999997
14.0,4.0,3.1360554918961983,0.10000000000000001
14.5,9.0,3.3952388443273387,0.025000000000000001
15.0,4.0,3.3952388443273387,0.025000000000000001
15.5,9.0,3.576667191029137,0.90000000000000002
15.875,4.0,3.576667191029137,0.10000000000000001
16.375,5.0,3.7036670337203956,0.125
16.875,2.0,4.092566923604277,0.074999999999999997
17.375,0.0,3.464796846522994,0.0
17.875,3.0,2.425357792566096,0.0
19.375,0.0,2.597750454796267,0.0
19.875,4.0,1.8184253183573866,0.0
20.375,3.0,2.4728977228501705,0.0
20.875,5.0,2.631028405995119,0.0
22.25,4.0,3.341719884196583,0.0
22.75,0.0,3.5392039189376074,0.0
23.3333333333,5.0,2.477442743256325,0.0
23.875,3.0,3.234209920279427,0.074999999999999997
26.125,4.0,3.1639469441955987,0.074999999999999997
26.6666666667,9.0,3.4147628609369187,0.050000000000000003
27.125,4.0,3.4147628609369187,0.0
27.6666666667,9.0,3.590334002655843,0.0
28.125,4.0,3.590334002655843,0.0
28.625,5.0,3.71323380185909,0.0
29.125,2.0,4.099263661301363,0.0
29.625,0.0,3.469484562910954,0.0
30.125,3.0,2.4286391940376677,0.0
31.5,0.0,2.600047435826367,0.0
32.125,4.0,1.8200332050784567,0.0
32.5,3.0,2.4740232435549196,0.0
33.0,5.0,2.631816270488444,0.0
34.5,4.0,3.3422713893419105,0.0
34.875,8.0,3.5395899725393374,0.0
35.375,5.0,3.5395899725393374,0.0
35.875,0.0,3.977712980777536,0.0
37.5,4.0,2.784399086544275,0.0
38.0,4.0,3.149079360580992,0.0
38.5,9.0,3.4043555524066944,0.0
38.875,4.0,3.4043555524066944,0.0
39.375,9.0,3.5830488866846855,0.0
39.875,4.0,3.5830488866846855,0.0
40.3333333333,5.0,3.7081342206792796,0.0
40.875,2.0,4.095693954475495,0.0
41.375,0.0,3.4669857681328464,0.0
42.0,3.0,2.4268900376929925,0.0
43.5,0.0,2.5988230263850944,0.0
43.875,4.0,1.819176118469566,0.0
44.375,3.0,2.473423282928696,0.0
44.875,5.0,2.631396298050087,0.0
46.375,4.0,3.341977408635061,0.0
46.875,0.0,3.5393841860445425,0.0
47.5,5.0,2.4775689302311794,0.0
48.0,3.0,3.2342982511618255,0.0
49.5,5.0,3.1640087758132776,0.0
50.0,0.0,3.714806143069294,0.0
50.5,2.0,2.6003643001485055,0.0
51.125,4.0,2.4202550101039537,0.0
52.125,0.0,2.8941785070727675,0.0
52.625,1.0,2.0259249549509373,0.0
